subject,beta,gamma,p_0
0,1.779444,0.86711836,0.48152918
0,1.8096731,0.9044284,0.030406807
0,1.865886,1.0024102,0.87752086
0,1.9189365,1.008041,0.679664
0,2.2756326,0.9484049,0.6472329
0,1.9635282,1.0141675,0.6132985
0,2.1342902,1.050334,0.69813454
0,2.317406,1.0187253,0.65065235
0,2.186317,1.0735376,0.5865065
0,2.2589333,1.0988531,0.6609475
0,2.2597604,1.0774972,0.49152985
0,2.2726789,1.0777717,0.011012289
0,2.2593057,1.1213524,0.9614543
0,2.2980084,1.0896932,0.84186727
0,2.4040053,1.0787679,0.8989011
0,2.4678047,1.0655327,0.917891
0,2.5460417,1.0573658,0.9245103
0,1.7502806,1.1184261,0.9199749
0,1.6858939,1.1848958,0.96702987
0,1.7856975,1.1626045,0.9725353
0,1.82904,1.1466765,0.49997056
0,1.836833,1.1499041,0.005449063
0,1.7875831,1.1631743,0.07146938
0,1.9021404,1.1428955,0.16181177
0,2.0332177,1.1134529,0.17137599
0,2.1630642,1.0919871,0.16141531
0,2.2926335,1.0761963,0.14776355
0,2.377558,1.0632651,0.116920814
0,2.4364653,1.050152,0.071301095
0,2.4868734,1.0333534,0.050873328
0,2.5099761,1.0267898,0.5005182
0,2.4914083,1.0224539,0.9802516
0,2.4622312,0.48042643,0.6994052
0,2.0296216,0.45328736,0.1251079
0,2.1182547,0.39798462,0.068655826
0,2.348316,0.38185275,0.068641916
0,2.4104793,0.37767988,0.07523578
0,2.4474592,0.4160881,0.08991991
0,2.4661334,0.46277785,0.08729923
0,2.483933,0.4885285,0.06903526
0,2.5350482,0.5300381,0.5355955
0,2.588896,0.49808973,0.98145413
0,2.5753284,0.53076935,0.98249924
0,2.6270366,0.55079925,0.9833997
0,2.6541648,0.5386832,0.9851806
0,2.6612222,0.5567359,0.983597
0,2.6706262,0.57778764,0.9816553
0,2.6759636,0.58886117,0.98460245
0,2.6855767,0.58193916,0.9811198
0,2.105596,0.6861347,0.9247871
0,2.0328677,0.6944772,0.37570757
0,1.9408879,0.76374185,0.008385805
0,2.0738475,0.7729408,0.75543183
0,2.1283288,0.7905742,0.5857822
0,2.3893805,0.6973982,0.6464384
0,2.5884576,0.5994755,0.74101704
0,2.7283943,0.54250765,0.81814224
0,2.7919505,0.51050174,0.8412248
0,2.8162262,0.49418396,0.8374803
0,2.8058631,0.48598027,0.87621725
0,2.8123095,0.49827653,0.48841694
0,2.5730462,0.577075,0.13892736
0,2.546951,0.2725548,0.2113367
0,2.0758216,0.33197522,0.3200828
0,1.7713118,0.35236335,0.28649572
0,1.8338351,0.3613212,0.3266359
0,1.4828396,0.4532327,0.48672634
0,1.6557958,0.47551978,0.66601974
0,1.7217314,0.49382603,0.62841314
0,1.8471062,0.42581415,0.7202591
0,2.0188015,0.41490412,0.3622847
0,1.8560131,0.45563352,0.17260502
0,1.7643578,0.15169203,0.46254748
0,1.9529486,0.13449693,0.5490463
0,2.0135338,0.1119864,0.67206985
0,2.2367768,0.110229015,0.70688355
0,2.343361,0.12854135,0.72437245
0,2.392408,0.14816976,0.81987953
0,2.45325,0.16119027,0.89187235
0,2.4925451,0.16638052,0.9418945
0,2.5171666,0.20878303,0.38264358
0,2.423619,0.25735784,0.6653166
0,2.5605314,0.05784619,0.7432071
0,2.7216396,0.07574868,0.79144996
0,2.130556,0.3006494,0.99322176
0,2.1029603,0.32666016,0.9933455
0,2.269869,0.35100985,0.9955844
0,2.3413043,0.3592546,0.9953355
0,2.3838072,0.3558886,0.99538356
0,2.427345,0.33887875,0.9950199
0,2.479309,0.3698386,0.48474473
0,2.4321265,0.41173488,0.016911743
0,2.4772146,0.3952878,0.6954223
0,2.5816336,0.4849369,0.5684732
0,2.757445,0.38889188,0.58822626
0,2.8839052,0.32998306,0.62361604
0,2.936391,0.30069625,0.68655795
0,2.9517424,0.29468936,0.70967174
0,2.9381163,0.30073118,0.758538
0,2.9245403,0.30732435,0.811688
0,2.8596501,0.33565247,0.47586605
0,2.6515481,0.43877953,0.6996128
0,2.8452299,0.17898357,0.82285076
0,2.898514,0.14128113,0.87719613
0,2.9290965,0.14529979,0.891019
0,2.6061354,0.32432753,0.04634049
0,2.6632152,0.33285743,0.03490973
0,2.6813872,0.3258136,0.02346999
0,2.7848449,0.32471806,0.022879811
0,2.8456337,0.32350117,0.01922649
0,2.7870495,0.44360632,0.4096533
0,2.8336022,0.41747034,0.76842445
0,2.714868,0.62009037,0.00067688513
0,2.7307758,0.57592475,0.0041599697
0,2.717861,0.56831706,0.004604532
0,2.7261868,0.57397676,0.004165247
0,2.6996634,0.5783718,0.0038996388
0,2.6906884,0.59379005,0.0037153845
0,2.6947196,0.60592926,0.0043354314
0,2.694173,0.61539924,0.0054070894
0,2.6021569,0.659997,0.48089132
0,2.5481184,0.6482134,0.8569151
0,2.611378,0.78223187,0.02109063
0,2.5109322,0.81629944,0.046733327
0,2.7191687,0.7598734,0.03895675
0,2.8029022,0.7280272,0.05029614
0,2.8462691,0.723351,0.037246045
0,2.8638086,0.7350556,0.031725097
0,2.8564098,0.744107,0.028875172
0,2.8417451,0.74129605,0.02453606
0,2.7998052,0.76306057,0.5127758
0,2.7732534,0.7359917,0.9888531
0,2.779486,0.82577765,0.3014884
0,2.788798,0.830378,0.5924228
0,2.6386406,0.9691252,0.21443033
0,2.5055513,0.84127355,0.2090404
0,2.555812,0.6978184,0.38584107
0,1.8737903,0.7121899,0.51857257
0,1.9699247,0.73892117,0.56389356
0,2.1839824,0.69060993,0.53561056
0,1.9773047,0.7006972,0.4744048
0,2.3208325,0.76508355,0.0042991634
0,2.3736556,0.7938116,0.026107263
0,2.3927355,0.80963016,0.059429184
0,2.4368334,0.7599327,0.05657461
0,2.4457242,0.781942,0.040453028
0,2.4495387,0.8105384,0.029336715
0,1.2957816,1.0090688,0.12397077
0,0.8970419,1.0592141,0.0713805
0,1.0918193,0.9885845,0.09170762
0,1.313834,0.95977545,0.42531994
0,1.2420292,0.9438674,0.94124323
0,1.2274489,0.9735837,0.01703623
0,1.24946,1.0625335,0.041425195
0,1.2145543,1.0381559,0.03730604
0,1.316934,1.056752,0.029351763
0,1.3735472,1.0489763,0.02280929
0,1.4182307,1.0282347,0.018207137
0,1.4863384,0.998281,0.016631458
0,1.558015,0.94954014,0.016940178
0,1.54776,0.95940524,0.45898294
0,1.5852506,0.9349036,0.9729629
0,1.4109538,0.98896027,0.9817343
0,1.4937446,0.967256,0.95952094
0,1.5546896,0.9727092,0.9624631
0,1.5864011,0.9834841,0.9661903
0,1.603794,0.99443126,0.97173184
0,1.6227272,1.0078506,0.975578
0,1.645313,1.0235834,0.9801892
0,1.670904,1.030743,0.98390794
0,1.6983395,1.0610484,0.46295485
0,1.65154,1.0656813,0.9906075
0,1.7167819,1.0922883,0.21052043
0,1.4956968,0.99600875,0.041323982
0,1.554326,1.1066654,0.3046548
0,1.587355,1.0775069,0.15227972
0,1.3178108,1.0997791,0.14360417
0,1.12112,1.1057614,0.21089305
0,1.0129099,1.148703,0.21209782
0,1.0853891,1.1642004,0.27265838
0,1.2845218,1.1490543,0.49692908
0,1.3872731,1.1454504,0.932596
0,1.4417403,1.1855727,0.026012208
0,1.1083636,1.2283192,0.04999529
0,1.4298215,1.2350309,0.047509186
0,1.5168104,1.2334388,0.034122624
0,1.5377488,1.2358818,0.023516035
0,1.5793825,1.2324508,0.018685175
0,1.6436901,1.2194371,0.017091382
0,1.707377,1.1995902,0.016396249
0,1.6141963,1.2052963,0.44867933
0,1.6608562,1.1695409,0.98214394
0,1.7019031,1.1818764,0.2246164
0,1.7528429,1.2205436,0.44735864
0,2.015628,1.171702,0.550247
0,2.152635,1.0319331,0.42815194
0,2.2889736,0.91379887,0.34016976
0,2.3907902,0.8416652,0.3360003
0,2.4614928,0.7810038,0.27976376
0,2.5048199,0.7299098,0.26104856
1,1.779444,0.86711836,0.48152918
1,1.8313262,0.8948573,0.017833466
1,1.8542459,0.97569984,0.9185647
1,1.8970335,0.977867,0.80088484
1,1.058707,1.0308291,0.88888043
1,1.0149978,1.1109195,0.86390656
1,1.1033347,1.1145966,0.8530941
